P407,P188,Tween80,PG,Solubility,Tgel,Particle_Size,variance release,variance tgel,variance PS
1.704575,0.7986,0.0575,0.206,0.24886464,45.0,5.4245,0.000148078,0.0,0.35462025
1.86025,0.0,0.0536,0.8229,0.343033052,24.5,6.307,2.98e-05,0.25,2.414916
1.9069,0.8264,0.0262,1.0011,0.535910492,32.0,31.4,7.83e-05,0.0,144.0
1.6021,0.402825,0.076,0.4117,0.422814493,45.0,193.5,6.02e-05,0.0,2016.01
1.5004,0.597825,0.1032,0.4106,0.32033997,47.0,56.94,0.000144159,0.0,0.2209
2.000075,0.398,0.0,0.819,0.383244027,28.0,19.83,1.24e-06,0.0,11.6281
1.90105,1.004275,0.0752,0.8136,0.404539552,34.0,12.025,0.085663144,0.0,2.673225
1.6015,0.2032,0.0257,0.0,0.413952072,37.0,19.72,3.3e-06,0.0,0.9409
1.609125,0.23445,0.0,0.2948,0.406105494,37.0,11.1045,0.002070495,0.0,2.08947025
1.6128,0.458525,0.0,0.1904,0.44509998,41.5,27.195,0.000121786,0.25,57.684025
1.607375,0.491075,0.0,0.2744,0.434950255,42.0,8.4115,5.51e-06,0.0,0.02706025
1.80725,0.6295,0.0239,0.5533,0.430570506,32.66666667,16.57333333,0.0,0.111111111,14.92804444
1.803875,0.62875,0.021,0.6272,0.314854682,33.0,56.05,5.88e-06,0.333333333,360.0656333
1.77395,0.59075,0.028,0.8028,0.647874058,34.0,17.285,0.000893914,0.0,1.288225
1.8265,0.79905,0.0245,0.8829,0.415433262,32.33333333,32.54333333,1.6e-05,0.111111111,141.8770111
1.600375,0.48265,0.0774,0.432,0.437970936,35.0,20.654,2.35e-05,0.333333333,10.360246
1.943725,0.93235,0.027,1.0027,0.487082885,28.33333333,11.84975,1.36e-06,0.111111111,2.940001729
1.7033,0.4401,0.0286,0.7914,0.459499462,33.66666667,12.53625,2.76e-05,1.444444444,7.26720192
1.912575,0.1982,0.0714,0.5957,0.560414424,23.0,13.9154,6.29e-05,0.1,22.57518716
1.92245,0.17545,0.0691,0.4642,0.540904198,24.0,18.3348,1.81e-06,0.1,8.14289704
1.8719,0.903925,0.0724,0.4742,0.51803014,33.0,15.1492,8.6e-06,0.333,38.78418424
1.749625,0.8659,0.0458,0.815,0.493137783,35.0,14.8414,4.21e-05,0.0,14.67881796
